community,0.0,1.0,African,American,Argentine,Asian,Australian,Austrian,Belgian,Brazilian,British,Canadian,Caribbean,Chinese,Colombian,Cuban,Czech,Danish,Dutch,Ethiopian,Filipino,French,Georgian,German,Greek,Hawaiian,Hungarian,Indian,Iranian,Irish,Italian,Jamaican,Japanese,Jewish,Korean,Latin,Mexican,Middle,Norwegian,Peruvian,Polish,Portuguese,Romanian,Russian,Scandinavian,Scottish,Southeast,Spanish,Swedish,Swiss,Thai,Turkish,Ukrainian,Vietnamese,omnivorous,savory,sweet,vegetarian
0,174,586,1,363,0,1,1,0,0,2,12,0,1,183,0,0,0,0,0,0,0,69,1,3,5,0,1,3,0,1,45,0,18,1,4,1,17,17,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,5,320,682,78,440
1,190,765,1,501,1,1,0,0,0,1,14,2,2,213,0,1,0,0,0,1,2,77,0,4,5,2,0,6,0,1,47,0,23,2,5,0,20,12,0,1,0,0,0,0,0,1,1,2,0,0,1,2,0,3,371,839,116,584
2,88,399,3,249,0,1,2,0,0,0,3,0,1,95,0,0,0,0,0,1,0,50,0,6,0,1,0,5,0,1,19,0,15,0,3,1,10,10,0,0,0,0,0,1,0,3,1,3,1,0,1,0,0,1,185,429,58,302
3,202,1105,0,674,1,2,4,0,0,0,17,3,0,289,0,0,1,0,0,0,2,114,0,12,5,1,0,8,0,0,70,0,28,2,3,0,31,29,0,0,1,0,0,2,0,0,0,1,3,0,1,0,0,3,485,1138,169,822
4,290,1180,4,767,0,2,0,0,1,2,44,0,5,285,0,0,0,0,0,1,0,136,1,5,13,5,1,11,0,0,83,1,17,2,9,2,37,22,0,1,4,0,0,2,0,0,0,1,1,0,0,2,0,3,548,1316,154,922
5,215,1209,1,734,0,1,0,0,1,1,23,3,3,315,0,0,0,0,0,0,0,129,0,4,4,4,1,7,0,2,74,0,26,1,7,1,32,29,0,1,1,2,0,2,2,0,0,2,1,1,2,4,0,3,558,1271,153,866
6,79,335,2,225,0,0,0,0,1,1,8,2,1,73,0,0,0,0,2,1,0,33,0,2,2,0,0,3,0,1,26,0,4,1,2,0,7,9,0,0,2,1,0,2,0,0,0,0,1,1,0,0,0,1,158,356,58,256
7,152,642,2,421,0,4,1,1,1,4,17,0,1,144,0,0,0,0,0,0,0,72,0,4,11,0,0,4,0,1,48,0,15,0,5,1,14,12,0,1,1,0,0,1,0,1,0,3,1,0,0,3,0,0,309,724,70,485
8,92,349,0,238,0,1,2,0,0,1,5,0,0,69,0,0,0,0,1,0,0,36,2,2,4,0,0,1,0,1,27,1,13,1,5,1,10,8,0,0,0,1,0,0,0,0,3,3,1,0,1,0,2,1,161,397,44,280
9,48,199,1,138,0,1,0,0,0,0,2,1,1,46,0,0,0,0,0,0,0,21,0,2,2,0,0,0,0,0,11,0,5,1,0,1,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,232,15,138
10,122,479,1,290,0,2,0,0,0,1,7,1,2,135,0,0,0,0,0,0,0,61,0,7,4,1,1,8,0,0,25,0,12,2,3,1,8,12,0,0,3,1,0,1,0,2,1,5,3,0,0,0,0,1,254,554,47,347
11,179,747,2,476,0,0,2,0,0,1,15,1,1,175,1,0,0,0,0,0,0,99,0,5,6,0,0,5,0,0,57,0,15,1,2,3,26,14,0,1,1,0,0,2,0,1,1,2,2,0,3,0,0,6,385,828,98,541
12,205,862,1,556,0,2,2,0,0,1,18,1,0,197,0,0,0,0,1,0,1,113,1,6,7,3,0,9,0,1,59,0,27,1,2,1,19,20,2,0,0,1,0,2,0,1,2,5,1,0,1,1,0,2,391,940,127,676
13,485,1372,3,971,0,1,2,0,1,2,29,5,3,353,1,0,1,0,1,0,0,142,1,13,26,7,2,16,0,3,100,0,51,1,11,0,40,42,0,1,6,1,0,4,1,1,3,3,2,0,2,2,0,3,624,1675,182,1233
14,57,210,0,137,0,1,1,0,1,1,1,1,1,56,0,0,0,0,0,0,0,16,0,2,1,1,0,1,0,0,19,0,6,1,2,0,9,6,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,105,240,27,162
15,208,842,0,529,0,3,1,0,0,1,21,1,1,204,0,1,0,1,1,0,2,105,2,4,9,2,0,7,0,2,66,0,27,0,3,0,19,10,0,2,4,1,2,3,1,2,0,7,0,1,1,1,0,3,396,945,105,654
16,20,98,0,59,0,0,2,0,0,0,1,0,0,24,0,0,0,0,0,0,1,16,0,2,1,1,0,0,0,0,3,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,103,15,71
17,49,231,0,151,0,0,0,0,0,0,4,0,1,44,1,0,0,0,0,0,2,32,0,2,1,0,0,2,0,1,9,0,4,2,2,0,10,8,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,94,239,41,186
18,6,77,0,38,0,0,0,0,0,0,1,1,0,23,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,79,4,51
19,24,77,0,52,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,1,8,0,1,3,1,0,0,0,0,5,0,2,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,85,16,60
20,19,54,0,42,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,31,61,12,42
21,79,364,0,229,0,0,0,0,0,0,7,0,1,87,0,0,0,0,0,0,0,46,0,6,2,1,0,2,0,0,36,0,11,0,1,2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,175,389,54,268
22,63,253,0,155,0,0,0,0,0,1,3,0,0,67,0,0,0,0,0,0,0,30,0,1,1,0,0,2,1,0,22,1,7,0,1,0,8,11,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,103,285,31,213
23,38,149,0,93,0,0,1,0,0,0,4,1,0,36,0,0,0,0,0,0,0,24,0,0,2,0,0,1,0,0,11,1,2,1,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,164,23,131
24,27,151,0,87,0,0,0,0,0,0,6,0,0,37,0,0,0,0,0,0,0,16,0,1,0,1,0,3,0,0,5,0,2,0,0,0,9,4,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,71,157,21,107
25,17,124,0,69,0,0,1,0,0,0,1,0,0,35,0,0,0,0,1,0,0,10,0,1,1,0,0,1,0,0,5,0,3,1,1,0,4,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,56,124,17,85
26,53,196,0,146,0,0,0,0,0,0,5,0,0,51,1,0,0,0,1,0,0,15,0,1,2,0,0,1,1,1,7,0,4,0,1,0,5,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,100,222,27,149
27,40,204,0,119,1,0,0,0,0,0,4,0,1,47,0,0,0,0,0,0,1,28,0,1,2,0,0,3,0,0,16,0,4,0,3,0,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,87,219,25,157
28,87,403,1,256,0,2,0,0,1,0,7,0,1,102,0,0,0,0,0,0,0,48,0,3,5,2,0,2,0,0,22,0,5,0,4,0,14,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,190,453,37,300
29,18,162,1,101,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,20,1,2,0,3,0,1,0,1,6,0,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,146,34,119
30,35,158,1,100,0,2,0,0,0,0,6,0,0,36,0,0,0,0,0,0,0,23,0,1,2,0,0,1,0,1,5,0,4,0,1,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,80,177,16,113
31,37,203,1,130,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,0,30,1,0,1,0,0,0,0,1,19,0,5,1,4,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,72,212,28,168
32,9,62,0,34,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,1,1,0,0,1,0,0,4,0,4,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,60,11,48
33,23,134,0,78,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,12,0,2,0,0,0,1,0,0,5,0,8,0,1,0,6,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,61,141,16,96
34,27,127,0,72,0,0,1,0,0,0,1,0,0,29,0,0,0,0,0,0,1,20,0,0,4,0,0,0,0,0,12,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,62,137,17,92
